index,subject,x1pos,x2pos,x3pos,x4pos,x5pos,x6pos,x7pos,x8pos,x1neg,x2neg,x3neg,x4neg,x5neg,x6neg,x7neg,x8neg,L,G2,L2,alpha,beta
20,1130_02_06,90,155,210,365,425,515,610,800,-545,-780,-1675,-2185,-2545,-2565,-3070,-3190,-2060,1665,-375,0.772782443,1.377164031
21,1130_03_01,1590,2610,4855,7615,12320,12050,23190,26945,-280,-425,-260,-1125,-1600,-4225,-6095,-3225,-1190,1075,-415,0.539909005,0.987089736
22,1130_03_02,970,2010,3155,4265,5685,13650,29335,60215,-995,-2015,-2880,-1320,-2205,-6220,-14125,-29690,-2060,1255,-1550,0.195299849,0.184668896
23,1130_03_03,1220,2500,3980,5170,6730,7840,8910,9945,-2280,-4185,-6420,-8725,-9755,-12900,-15410,-16905,-2560,2340,-1660,1.071560616,1.00353353
24,1130_03_06,970,2125,3430,5790,7900,13150,19460,28340,-380,-490,-540,-860,-1000,-1925,-2500,-4050,-1440,960,-990,0.395583273,0.382636839
25,1130_03_07,970,1215,1565,1760,1960,2165,2230,2440,-595,-860,-1375,-2045,-3180,-4285,-5000,-6045,-1310,1540,-440,2.143649058,0.709227178
26,1130_03_08,840,2260,3795,4600,2930,5880,9650,11660,-960,-2360,-4085,-6705,-7150,-8565,-13005,-13255,-2690,980,-1955,0.59169185,0.851554693
27,1201_01_01,840,1730,2780,3730,5865,6900,8035,9805,-485,-730,-765,-980,-1350,-1620,-1970,-2240,-1060,1200,-745,0.793774982,1.007999023
28,1201_01_02,220,1250,3285,4000,8475,8785,9670,9940,-115,-550,-795,-1025,-2510,-2755,-3375,-3360,-2440,635,-895,0.981619709,0.851304601
29,1201_01_03,910,2115,3235,4390,5580,6815,8085,9395,-705,-1430,-2085,-3225,-3970,-4690,-5385,-6060,-1810,1170,-1325,0.911266789,1.01370966
30,1201_01_04,910,2175,4675,8155,13825,17920,20550,23435,-515,-865,-1320,-2200,-2980,-3325,-3890,-4440,-1560,990,-1175,0.727017824,0.93912427
31,1201_01_05,590,2615,4995,7040,10030,15200,17485,19985,-245,-795,-2405,-3280,-4430,-5040,-5995,-6980,-1060,1075,-1085,0.723732543,0.857007407
32,1201_01_06,1280,4940,11760,19080,29835,59220,81225,100490,-880,-1060,-1310,-1615,-3030,-7290,-7605,-7875,-1940,2030,-1530,0.457463732,0.665901506
33,1201_01_08,1720,4670,7145,9985,10965,11975,13020,14100,-815,-2290,-4040,-5960,-7130,-8270,-8775,-9865,-1810,1705,-950,1.413207431,1.134797213
34,1201_01_09,910,1450,2010,2745,3340,3950,4585,5240,-415,-695,-1205,-1630,-2035,-2430,-2810,-2970,-1060,775,-795,1.067756115,1.115162861
35,1201_02_01,280,875,1175,1410,1860,2245,2665,3130,-500,-760,-1115,-1750,-2070,-2300,-3105,-4095,-810,1425,-495,0.941517354,0.71821763
36,1201_02_02,720,2540,6980,10735,17240,25660,37500,46930,-485,-705,-1300,-2025,-2460,-2905,-3370,-3615,-1060,660,-1305,0.487126888,1.054663542
37,1201_02_03,910,2700,3910,5795,7105,8455,9850,11290,-880,-2090,-3265,-4400,-5860,-6920,-7945,-9515,-1940,1580,-1395,0.966699455,0.909665306
38,1201_02_04,840,1105,1385,1670,1965,2270,2585,2905,-390,-525,-730,-815,-875,-920,-1040,-1225,-810,710,-535,1.375596974,1.654848648
39,1201_02_05,470,890,1295,1690,2070,2440,2980,3320,-700,-1730,-2625,-3490,-4330,-5140,-5930,-6690,-1440,1280,-750,1.031694226,1.03955614
40,1201_02_06,530,980,1185,1470,1655,1840,2015,2745,-795,-1295,-2255,-3975,-6520,-9620,-16145,-25730,-1310,1675,-540,1.094003134,0.324598981
41,1201_02_07,470,2665,5280,9510,15985,25900,47790,74600,-555,-735,-820,-860,-880,-885,-890,-1010,-1690,1310,-1230,0.3002094,3.832693791
42,1201_02_08,910,1630,2020,2600,2635,2840,2865,3630,-530,-735,-1205,-1935,-3315,-4735,-6950,-9000,-690,1580,-415,1.613314011,0.473798186
43,1201_03_01,410,1345,2055,3345,3665,4735,7920,9135,-415,-795,-2040,-4340,-6575,-8060,-10240,-11375,-1060,1095,-735,0.603156452,0.707616671
44,1201_03_02,1280,4000,8165,18690,20645,22660,24740,25255,-765,-1500,-2425,-3310,-4525,-5930,-7550,-9935,-1690,900,-1630,1.176268847,0.630155852
45,1201_03_03,1030,2955,3895,6055,7800,9700,11775,14050,-935,-2605,-3015,-6480,-9335,-11270,-14065,-17120,-2060,1890,-1370,0.806745356,0.690884478
46,1201_03_04,590,1115,1320,2110,3270,4115,5900,7665,-1720,-2865,-3645,-3830,-4285,-4700,-5425,-6125,-2560,1200,-1025,0.545972497,1.62692524
47,1202_01_02,720,1540,2155,5240,8705,14375,24000,37800,-715,-760,-1400,-1940,-2575,-2940,-3720,-4480,-1310,1205,-985,0.314138692,0.828304018
48,1202_01_04,910,2605,5100,6370,6875,7840,9905,12295,-700,-1975,-2985,-4990,-6290,-6710,-9045,-15550,-1940,1410,-1025,0.905483511,0.472482698
49,1202_01_07,910,3115,6120,8770,11570,14215,17280,19700,-220,-565,-1090,-1635,-2195,-3950,-5425,-6845,-560,795,-1025,0.833026985,0.490457628
50,1202_02_01,470,525,580,610,600,625,650,680,-220,-430,-525,-955,-1390,-1885,-2020,-2635,-560,995,-310,5.497314427,0.703416251
51,1202_02_02,970,2665,4365,6230,8745,11645,14190,16975,-715,-1775,-2670,-3680,-4585,-5785,-6950,-8075,-1310,1685,-1630,0.721727317,0.876260756
52,1202_02_05,840,2800,6955,15140,23310,41330,59160,72995,-610,-2070,-5430,-10795,-17460,-28980,-38530,-63145,-1440,1390,-1035,0.45721356,0.35696445
53,1202_02_06,30,50,125,150,175,190,215,240,-295,-1005,-1950,-2715,-3500,-4050,-4585,-5100,-2060,980,-320,1.219077932,1.01332767
54,1203_01_01,970,1390,1740,1975,2205,2425,2635,2845,-765,-1910,-3380,-4500,-6045,-6565,-7520,-8505,-1690,1030,-600,1.926951329,1.051744494
55,1203_01_03,970,5140,13345,28565,31150,33815,36560,41785,-995,-3835,-7330,-12685,-14065,-15490,-3600,-4695,-2060,1255,-1940,1.031159148,813594.3486
56,1203_01_04,1030,1395,1745,3840,8370,15095,27620,42920,-1325,-1590,-2345,-1885,-3900,-5055,-9885,-17710,-2060,1980,-710,0.287805623,0.265729469
57,1203_01_05,970,4065,10080,18930,21375,29685,36410,46570,-340,-330,-320,-310,-300,-290,-285,-275,-1440,300,-2100,0.643956836,620506.4966
58,1203_01_06,970,1295,3580,4875,10220,23665,50135,102245,-295,-625,-960,-1310,-1670,-3035,-6380,-11505,-2060,610,-2100,0.195894576,0.237123506
59,1203_01_07,470,815,850,880,970,995,1025,1050,-605,-1830,-2765,-3785,-4620,-6140,-9185,-12040,-940,995,-360,3.706482048,0.55164379
60,1203_02_02,470,1520,3350,5820,11670,23570,45500,90170,-575,-630,-765,-820,-845,-855,-1130,-1125,-940,1560,-600,0.213175961,2.468312474
61,1203_02_03,470,1450,4880,9415,19915,34690,10045,19730,-185,-25,-240,-75,-340,-1105,-3075,-3755,-1310,865,-1330,1.201646376,0.277166039
62,1203_02_05,970,3265,5290,8190,8765,9250,11095,13710,-725,-1625,-3800,-6410,-10080,-13210,-20515,-25925,-2440,1060,-2500,0.99967398,0.489121832
63,1203_03_02,470,1710,3370,4460,6035,6730,7895,8650,-15,-55,-85,-155,-190,-225,-270,-340,-60,400,-790,1.009597065,0.761914066
64,1203_03_03,410,390,370,380,385,395,405,410,-470,-550,-685,-955,-2135,-3555,-5400,-7945,-810,1420,-295,29.89279984,0.357533065
65,1203_03_04,1970,7900,17720,37675,75720,148240,295875,567910,-315,-425,-875,-1315,-1850,-2400,-2970,-3555,-1060,780,-2345,0.217730074,0.70987223
66,1203_03_06,410,950,2145,4655,8195,13005,20365,26475,-520,-1040,-2810,-4960,-6580,-8820,-9570,-12950,-810,1355,-595,0.411768903,0.660959064
67,1203_03_07,1090,2040,3905,6885,9440,11535,21165,29360,-1170,-2615,-3950,-4040,-4435,-5130,-6150,-7140,-3940,1520,-2045,0.405196275,1.256447836
68,1203_03_08,910,2840,3905,5910,7065,8260,10640,11950,-1000,-2210,-3385,-4515,-5975,-7030,-8570,-10155,-1940,1580,-1245,0.907693417,0.871771229
69,c1203_1010_01,970,1685,3760,4670,5610,6180,7170,8185,-940,-1860,-2750,-4075,-5840,-7460,-8705,-9990,-1940,1280,-1070,1.098146303,0.82862688
70,c1203_1010_02,720,810,895,980,995,1075,1150,1225,-10,-35,-45,-60,-80,-110,-130,-155,-690,320,-415,3.352779786,0.784377056
71,c1203_1010_03,1410,2525,5670,8175,10075,19790,25380,32190,-385,-590,-705,-920,-1075,-1065,-1060,-1055,-1060,490,-1335,0.508875055,2.734938216
72,c1203_1010_04,970,3075,5765,9715,14515,22455,30045,39305,-485,-1205,-2030,-2880,-3525,-4420,-5345,-7830,-2060,1060,-2500,0.498779809,0.620074167
73,c1203_1010_06,1780,3450,4240,6580,8100,10080,11870,13485,-600,-1445,-1510,-1570,-1740,-1885,-1880,-2015,-2940,645,-3315,0.950297272,2.688209528
74,c1203_1010_07,970,1960,2980,4035,5125,6240,7390,8580,-1000,-1975,-2925,-3840,-4730,-5590,-6420,-7230,-1940,1340,-1230,0.924797348,1.084571851
75,c1203_1110_01,1970,4140,6380,8160,9885,11560,13175,14745,-995,-1765,-2635,-3705,-4805,-3060,-4640,-6115,-2060,1255,-2345,1.133789936,1.113274686
76,c1203_1110_03,910,990,1970,2015,2195,2385,2425,2460,-335,-395,-425,-620,-675,-775,-920,-1025,-940,810,-415,2.425245057,1.359320681
77,c1203_1110_04,910,2855,4825,5380,7150,8430,10300,11485,-675,-2370,-3740,-4305,-6415,-7790,-8760,-14495,-2060,1005,-1855,0.986153384,0.556733682
78,c1203_1310_01,1780,3890,5930,6885,8835,10720,12555,14325,-1050,-1515,-1990,-2635,-3145,-3670,-4215,-4775,-3940,715,-2535,1.021271802,1.184684669
79,c1203_1310_02,910,1585,3825,6965,11780,12900,16605,18950,-1195,-2405,-4485,-9050,-15050,-19295,-21950,-30540,-3310,1080,-1025,0.721396437,0.574427838
80,c1203_1310_03,970,2150,3935,4700,5760,6795,8800,10990,-960,-790,-700,-620,-580,-260,-140,-95,-2940,280,-1550,0.796485807,5264371.497
81,c1203_1310_04,910,3190,8140,16750,34835,70445,113775,132645,-920,-1580,-2600,-7295,-16540,-33640,-38005,-37885,-1440,1405,-1245,0.408641849,0.608952891
82,c1203_1310_05,720,1360,1850,2460,3045,3615,4165,4700,-815,-1720,-2500,-4855,-6190,-7815,-8290,-8780,-3060,525,-985,1.085600981,1.031008165
83,c1203_1310_06,1030,1395,1765,2015,2555,2960,3180,3390,-225,-415,-640,-875,-1045,-1365,-1615,-1880,-940,505,-620,1.583061138,0.895604213
84,c1203_1410_01,970,2150,4145,5560,7020,8530,10085,10985,-995,-1885,-2750,-4055,-5165,-5930,-6665,-7855,-2060,1255,-1550,0.983206955,1.001602517
85,c1203_1410_02,1090,2050,3100,5220,6575,7590,9155,12110,-995,-2040,-3450,-5570,-8565,-12400,-20695,-21130,-2060,1415,-1085,0.739374195,0.575147811
86,c1203_1410_03,970,1295,2550,4650,6430,7860,9000,10250,-75,-55,-110,-255,-385,-440,-520,-635,-190,475,-670,0.8392223,0.72615218
87,c1203_1410_05,970,1730,3070,4455,6595,8095,10220,13980,-1050,-1260,-1380,-1585,-1670,-1860,-2050,-2380,-2690,555,-1550,0.599993011,1.957860654
